feature,importance,importance_fraction
num_pipe__age,0.19538556,0.19538559
cat_pipe__gender_Male,0.10875428,0.10875429
cat_pipe__ever_married_Yes,0.09339201,0.093392015
cat_pipe__work_type_Private,0.074841976,0.07484198
cat_pipe__smoking_status_never smoked,0.06531796,0.065317966
cat_pipe__work_type_Govt_job,0.047147576,0.047147583
cat_pipe__residence_type_Urban,0.04491609,0.044916093
cat_pipe__work_type_Self-employed,0.04464417,0.044644173
cat_pipe__ever_married_No,0.0440995,0.044099502
cat_pipe__smoking_status_formerly smoked,0.043692578,0.04369258
cat_pipe__residence_type_Rural,0.04128711,0.041287113
cat_pipe__gender_Female,0.035414014,0.035414018
cat_pipe__smoking_status_smokes,0.030055447,0.03005545
cat_pipe__smoking_status_Unknown,0.028541556,0.02854156
cat_pipe__work_type_children,0.028442385,0.028442388
num_pipe__hypertension,0.025366906,0.02536691
num_pipe__bmi,0.019995628,0.01999563
num_pipe__glucose_level,0.019568173,0.019568175
num_pipe__heart_disease,0.009137032,0.009137033
